name,lat,lon,city,type,address,type_of_place,distance_from_company
The Mirror Bar,51.521536,-0.162908,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.521536, -0.162908]}}","222 Marylebone Rd, London, Greater London, NW1 6JQ",Bar,0.2601015509400217
Sara Cafe,51.520111,-0.158643,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.520111, -0.158643]}}","13A Crawford St, London, Greater London, W1U 6BZ",Bar,0.2924336440577366
Marriott Marble Arch - Executive Lounge,51.516266,-0.163932,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.516266, -0.163932]}}","134 George St, London, Greater London, W1H 5DN",Bar,0.3392717585936984
Gino's Coffee Bar,51.522114,-0.162098,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.522114, -0.162098]}}","Great Central St, London, Greater London, NW1 6JH",Bar,0.3254911942064161
Sports Bar & Grill,51.522365,-0.163686,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.522365, -0.163686]}}","Marylebone Station, Melcombe Pl, Marylebone, Greater London, NW1 6JJ",Bar,0.35925931132828387
Valentino,51.518273,-0.167912,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.518273, -0.167912]}}","179-181 Edgware Rd, London, Greater London, W2 1ET",Bar,0.3811692701110446
Al Dar,51.515436,-0.163773,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.515436, -0.163773]}}","61-63 Edgware Rd, London, Greater London, W2 2HZ",Bar,0.42665910601648654
Palm Palace,51.515509,-0.163362,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.515509, -0.163362]}}","84 Edgware Rd, London, Greater London, W2 2EA",Bar,0.41416709135709157
Shishawi,51.515175,-0.163565,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.515175, -0.163565]}}","51-53 Edgware Rd, City of Westminster, Greater London, W2 2HZ",Bar,0.4528711778861794
Sherlock's Bar & Grill,51.521011,-0.156722,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.521011, -0.156722]}}","108 Baker St, London, Greater London, W1U 6LJ",Bar,0.45425537178351655
EDG Bar & Lounge,51.519469,-0.170117,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.519469, -0.170117]}}","225 Edgware Rd, London, Greater London, W2 1JU",Bar,0.5202314501719721
