name,lat,lon,city,type,address,type_of_place,distance_from_company
Knickerbocker Bar & Grill,40.731887,-73.994365,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.731887, -73.994365]}}","33 University Pl (at E 9th St.), New York, NY 10003",Bar,0.2601015509400217
Spot Dessert Bar,40.729281,-73.988979,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.729281, -73.988979]}}","13 Saint Marks Pl (btwn 2nd & 3rd Ave), New York, NY 10003",Bar,0.2924336440577366
McSorley's Old Ale House,40.728764,-73.98969,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.728764, -73.98969]}}","15 E 7th St (btwn Cooper Sq & 3rd Ave), New York, NY 10003",Bar,0.3392717585936984
No Bar,40.727883,-73.990802,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.727883, -73.990802]}}","25 Cooper Sq, New York, NY 10003",Bar,0.3254911942064161
Sake Bar Decibel,40.729209,-73.987667,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.729209, -73.987667]}}","240 E 9th St (btwn 2nd & 3rd Ave), New York, NY 10003",Bar,0.35925931132828387
Corkbuzz Wine Bar,40.735103,-73.993138,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.735103, -73.993138]}}","13 E 13th St (btwn 5th Ave & University Pl), New York, NY 10003",Bar,0.3811692701110446
Phebes Tavern,40.726897,-73.991374,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.726897, -73.991374]}}","359 Bowery (at E 4th St), New York, NY 10003",Bar,0.42665910601648654
ChikaLicious Dessert Bar,40.729678,-73.986288,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.729678, -73.986288]}}","203 E 10th St (btwn 1st & 2nd Ave), New York, NY 10003",Bar,0.41416709135709157
Fish Bar,40.727115,-73.989434,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.727115, -73.989434]}}","237 E 5th St (at 2nd Ave), New York, NY 10003",Bar,0.4528711778861794
Milk Bar,40.731854,-73.985587,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.731854, -73.985587]}}","251 E 13th St (at 2nd Ave), New York, NY 10003",Bar,0.45425537178351655
Hidden Lane Bar,40.73465,-73.987924,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.73465, -73.987924]}}","129 E 15th St, New York, NY 10003",Bar,0.5202314501719721
Beauty Bar,40.732928,-73.985756,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.732928, -73.985756]}}","231 E 14th St (btwn 2nd & 3rd Ave), New York, NY 10003",Bar,0.49220720522817496
Beauty Bar,40.732928,-73.985756,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.732928, -73.985756]}}","231 E 14th St (btwn 2nd & 3rd Ave), New York, NY 10003",Bar,0.5560712374550706
Mapi Expresso And Sandwich Bar,40.735556,-73.994334,New York,"{'typepoint': {'type': 'Point', 'coordinates': [40.735556, -73.994334]}}","1 W 13th St (at 5th Ave.), New York, NY 10011",Bar,0.5555393610851007
